region,year,gdp_new,veh,emissions,gascons,gascpi,pop,unemprate,partrate,emprate,realgdp,rgdp,canada,employment_mogas,emp_tot
Alabama,1998,"160,396",NA,134.8649445,2125352,0.9840000272,NA,4.400000095,NA,NA,NA,3.56915164,0,NA,NA
Alabama,1999,"166,532",NA,137.5874329,2176725,1.075999975,NA,4.699999809,NA,NA,NA,3.715380669,0,NA,NA
Alabama,2000,"168,695",NA,143.4498444,2257402,1.412999988,NA,4.599999905,NA,NA,NA,1.627743125,0,NA,NA
Alabama,2001,"168,448",NA,134.9851685,2111179,1.327000022,NA,5.099999905,NA,NA,NA,-0.3549829721,0,9509,2376054
Alabama,2002,"172,430",NA,140.0033722,2206192,1.274999976,NA,5.900000095,NA,NA,NA,2.621964455,0,9270,2364829
Alabama,2003,"178,040",NA,140.8666534,2194774,1.457000017,4503.491,6,NA,NA,NA,2.475846052,0,9108,2371431
Alabama,2004,"189,914",NA,143.5671387,2261569,1.748000026,NA,5.699999809,NA,NA,NA,6.45462513,0,9110,2425650
Alabama,2005,"197,247",NA,144.9902802,2283351,2.193000078,NA,4.5,NA,NA,NA,3.384668112,0,9899,2486834
Alabama,2006,"199,924",NA,147.5036926,2337777,2.480000019,NA,4,NA,NA,NA,1.905746341,0,10409,2545557
Alabama,2007,"202,026",1959564,149.0142059,2379119,2.66899991,4672.84,4,NA,NA,NA,0.627181828,0,10679,2604079
Alabama,2008,"200,967",2202962,141.226059,2318933,3.134000063,4526.899902,5.699999809,NA,NA,NA,-0.6535141468,0,11667,2582592
Alabama,2009,"194,192",NA,121.2435074,2071647,2.223999977,4569.100098,11,NA,NA,NA,-3.447311878,0,10929,2479508
Alabama,2010,"199,455",2194004,133.7588196,2259107,2.644999981,4651.399902,10.5,NA,NA,NA,2.3036623,0,11997,2460299
Alabama,2011,"201,373",2283397,130.750946,2281639,3.362999916,4676,9.600000381,NA,NA,NA,1.449284077,0,11932,2497934
Alabama,2012,"203,676",2024677,124.1647797,2247900,3.415999889,4696,8,NA,NA,NA,0.4777372777,0,14010,2503679
Alabama,2013,"206,963",2057430,121.5238953,2232297,3.299000025,4705.799805,7.199999809,NA,NA,NA,1.211606979,0,13630,2523339
Alabama,2014,"206,070",2506496,123.7531052,2269535,3.135999918,4714.100098,6.800000191,NA,NA,NA,-0.6600139141,0,13043,2551873
Alabama,2015,"208,950",2262612,120.6308365,2257529,2.164000034,4730.100098,6.099999905,NA,NA,NA,0.9920668602,0,12996,2587452
Alabama,2016,212862.8,2239705,115.3516922,2196287,1.914999962,4730.100098,5.800000191,NA,NA,NA,1.105745316,0,11459,2619797
